5306.73, 429.75
5384.68, 408.66
5335.80, 412.06
5406.84, 429.36
5545.60, 425.80
5348.05, 408.38
5159.65, 413.25
5300.21, 426.60
5158.39, 408.94
5159.26, 412.22
5213.72, 411.60
5158.70, 412.66
5157.21, 414.55
5246.27, 427.53
5647.68, 464.97
5328.46, 426.82
5247.29, 443.20
5613.30, 437.27
5404.19, 416.76
5303.09, 412.98
5187.96, 411.31
5311.21, 440.95
5180.92, 414.94
5155.12, 418.30
5159.20, 414.12
5239.02, 414.06
5197.63, 417.28
5204.73, 415.21
5562.47, 414.05
5918.20, 460.68
5253.72, 417.56
5161.13, 416.68
5156.39, 420.00
5241.86, 419.05
5214.79, 441.81
5157.31, 419.19
5159.11, 419.15
5387.78, 421.75
5158.64, 418.57
5487.68, 419.64
5319.09, 430.58
5305.99, 422.30
5197.93, 429.81
5160.42, 419.27
5156.21, 422.09
5157.23, 418.53
5250.08, 421.41
5194.85, 430.55
5438.24, 449.02
5314.27, 431.44
5349.54, 437.06
5372.16, 436.45
5263.97, 421.27
5453.52, 441.74
5300.66, 432.72
5425.49, 444.72
5435.59, 441.71
5227.42, 424.73
5171.03, 422.60
5157.26, 425.34
5402.46, 432.82
5379.25, 421.94
5301.66, 425.68
5156.51, 422.11
5160.13, 422.38
5379.49, 438.58
5298.01, 426.27
5302.56, 421.40
5340.52, 422.18
5155.95, 425.37
5243.36, 422.62
5333.04, 421.24
5479.20, 433.01
5396.23, 427.73
5365.60, 424.49
5156.74, 421.75
5280.22, 442.59
5158.84, 426.00
5156.78, 422.62
5157.51, 443.56
5220.18, 423.24
5219.87, 422.45
5157.03, 444.01
5504.77, 427.43
5157.70, 422.96
5416.40, 450.40
5297.25, 426.96
5376.85, 435.66
5315.43, 435.78
5373.68, 455.76
5574.88, 462.48
5486.35, 452.90
5192.86, 426.89
5155.80, 423.59
5217.84, 429.77
5396.06, 418.59
5285.30, 401.07
5262.86, 415.36
5625.29, 422.97
5590.90, 422.83
5354.07, 405.76
5228.56, 426.55
5326.27, 401.68
5244.39, 401.74
5215.26, 404.23
5166.01, 402.09
5156.58, 404.63
5276.72, 401.37
5239.22, 416.01
5457.93, 425.47
5312.57, 423.98
5289.79, 401.78
5158.38, 408.20
5309.67, 408.28
5156.16, 405.53
5232.10, 407.76
5156.73, 404.91
5233.17, 405.15
5330.85, 434.44
5303.96, 411.16
5344.38, 434.24
5207.35, 414.10
5209.75, 414.62
5157.35, 411.24
5435.36, 425.05
5371.44, 440.03
5419.09, 442.17
5329.20, 412.90
5157.66, 413.84
5159.63, 418.96
5156.54, 417.05
5322.29, 444.36
5303.87, 420.44
5220.79, 416.78
5156.99, 438.40
5217.28, 428.84
5232.61, 417.59
5157.09, 420.62
5315.14, 417.48
5158.26, 417.82
5156.54, 420.15
5336.26, 417.92
5435.79, 429.34
5365.80, 428.75
5532.54, 437.31
5199.25, 421.24
5158.79, 417.16
5159.65, 420.67
5156.02, 417.61
5246.79, 417.55
5157.07, 419.71
5245.20, 417.89
5157.39, 421.03
5241.98, 417.95
5247.20, 419.23
5224.28, 443.21
5592.71, 445.58
5610.31, 442.60
5493.75, 434.60
5258.03, 436.07
5417.34, 429.81
5420.39, 430.47
5246.82, 422.34
5155.67, 420.19
5159.82, 421.24
5156.56, 424.16
5247.85, 420.71
5247.17, 423.04
5340.95, 458.82
5341.37, 421.48
5196.89, 439.57
5223.19, 424.89
5221.59, 422.09
5299.16, 421.91
5156.51, 424.22
5365.25, 422.68
5160.48, 418.58
5263.65, 442.04
5331.11, 422.09
5596.06, 449.78
5568.53, 440.45
5340.35, 437.30
5274.02, 450.91
5419.14, 420.80
5156.32, 423.72
5156.96, 420.78
5235.84, 422.20
5278.95, 419.94
5378.27, 420.52
5156.86, 422.96
5156.54, 419.32
5240.39, 419.91
5155.90, 423.06
5156.24, 420.36
5158.53, 422.73
5431.77, 435.15
5171.32, 420.25
5313.58, 397.97
5298.38, 431.12
5393.30, 401.40
5205.00, 419.51
5163.41, 401.78
5155.51, 398.75
5221.62, 414.36
5789.45, 428.18
5272.35, 407.19
5246.98, 401.82
5158.44, 401.11
5199.64, 418.42
5173.73, 401.68
5155.94, 405.60
5373.59, 425.40
5384.17, 421.21
5444.40, 401.75
5348.09, 402.97
5226.74, 405.05
5258.95, 402.24
5358.39, 401.86
5289.66, 404.82
5187.63, 415.42
5189.79, 405.05
5156.99, 401.30
5158.94, 402.22
5205.19, 419.53
5175.90, 402.04
5215.06, 419.05
5328.92, 423.21
5332.29, 414.61
5221.32, 401.53
5341.63, 408.32
5351.44, 414.58
5387.54, 415.46
5509.69, 418.70
5342.86, 409.10
5330.33, 413.31
5394.55, 441.31
5485.38, 407.95
5334.03, 408.42
5415.06, 420.67
5285.79, 424.53
5214.55, 420.34
5391.13, 408.77
5157.16, 411.49
5156.09, 432.81
5204.50, 408.64
5201.66, 410.99
5306.39, 420.44
5326.88, 421.35
5439.97, 428.49
5316.42, 424.19
5449.69, 411.91
5157.05, 408.73
5243.15, 412.45
5349.51, 425.07
5246.17, 411.74
5283.22, 427.10
5415.12, 429.00
5252.96, 411.88
5216.22, 422.76
5464.98, 415.62
5249.11, 440.44
5518.92, 416.08
5184.55, 422.97
5180.22, 414.09
5245.66, 412.05
5187.01, 413.15
5156.34, 416.68
5325.61, 429.56
5224.98, 429.93
5335.41, 416.90
5714.74, 449.23
5271.10, 452.74
5243.80, 414.21
5498.33, 433.83
5620.11, 424.84
5503.54, 426.63
5285.89, 418.56
5277.69, 420.52
5364.54, 428.03
5318.50, 428.20
5324.12, 420.25
5418.87, 440.94
5447.83, 441.26
5324.08, 442.75
5315.52, 439.69
5205.14, 422.52
5156.24, 421.04
5156.17, 424.06
5201.21, 436.19
5448.61, 421.23
5375.33, 432.93
5408.43, 421.06
5415.52, 437.02
5375.96, 436.42
5253.18, 421.64
5367.65, 420.86
5289.16, 424.06
5177.92, 435.04
5193.30, 420.99
5153.74, 424.07
5458.47, 455.71
5447.19, 422.23
5539.53, 421.77
5575.82, 422.63
5186.86, 421.67
5153.48, 425.54
5306.26, 420.54
5157.22, 421.33
5230.43, 423.89
5152.79, 421.54
