16194.63, 1658.74
14845.31, 410.62
15001.63, 387.01
14978.33, 408.74
14825.37, 388.65
14790.83, 382.71
14845.66, 389.27
14820.41, 395.90
14821.36, 396.45
14940.94, 409.74
15028.67, 398.02
14849.50, 402.57
14800.02, 384.99
14819.41, 384.07
14804.41, 387.74
14797.96, 395.82
14792.44, 390.68
14822.20, 392.33
14800.77, 384.40
14805.11, 385.27
14801.68, 398.30
14794.20, 396.54
14793.53, 393.16
14802.27, 393.47
14800.94, 380.65
14818.39, 385.62
14949.55, 391.00
14804.68, 378.69
14809.57, 387.56
14810.14, 387.25
14802.94, 397.06
14799.42, 389.26
14807.70, 389.36
14837.11, 389.04
14810.90, 387.71
14823.82, 400.53
14794.69, 395.59
14806.39, 388.26
14796.35, 390.01
14810.99, 389.44
14833.33, 393.77
14819.91, 389.07
14812.34, 390.21
14792.82, 383.08
14804.24, 382.88
14829.39, 386.44
14800.19, 401.28
14803.18, 392.66
14800.21, 380.96
14813.10, 379.75
14861.23, 398.96
14795.54, 397.54
14821.05, 383.13
14804.70, 387.24
14836.83, 380.90
14795.86, 390.44
14821.32, 389.37
14798.65, 382.38
14807.16, 382.74
14799.51, 400.83
14792.07, 385.43
14797.87, 395.39
14802.48, 396.35
14799.45, 385.64
14807.08, 382.71
14807.47, 387.09
14798.13, 399.12
14803.30, 380.65
14806.45, 396.17
14836.69, 383.80
14822.62, 391.76
14791.55, 385.67
14807.61, 381.96
14803.87, 398.47
14804.57, 395.65
14831.81, 388.62
14816.28, 387.15
14796.58, 384.22
14810.34, 386.02
14835.30, 393.37
14820.28, 404.91
14790.76, 396.19
14792.24, 384.00
14830.52, 385.73
14794.76, 394.15
14831.15, 401.12
14796.74, 386.30
14795.98, 375.30
14796.06, 385.93
14824.32, 383.24
14801.63, 384.31
14808.23, 389.88
14800.17, 382.82
14793.28, 388.69
14830.05, 391.66
14830.33, 392.28
14800.33, 400.34
14795.51, 384.91
14789.50, 392.91
14806.31, 380.10
14809.94, 385.72
14801.27, 400.31
14795.04, 394.74
14804.86, 383.32
14800.02, 380.97
14800.43, 392.66
14804.49, 394.58
14795.08, 396.18
14805.76, 389.69
14793.08, 380.90
14806.74, 386.21
14811.37, 385.73
14796.79, 398.31
14797.38, 393.21
14831.95, 384.20
14852.22, 385.65
14807.95, 390.69
14796.99, 383.72
14807.69, 395.65
14919.84, 407.59
14805.36, 397.13
14788.81, 393.99
14802.52, 391.06
14794.33, 397.17
14815.97, 392.26
14803.51, 389.52
14808.50, 387.20
14798.60, 385.91
14795.58, 387.97
14813.08, 394.85
14804.05, 384.65
14808.73, 394.46
14787.22, 398.41
14810.12, 389.13
14794.91, 389.58
14839.99, 394.16
14836.68, 397.33
14827.20, 383.24
14797.74, 380.29
14817.39, 394.12
14845.72, 406.62
14943.79, 398.81
14931.39, 394.83
14791.23, 382.86
14818.15, 390.04
14809.52, 398.33
14819.83, 393.91
14797.13, 390.65
14798.98, 384.32
14801.16, 397.44
14795.96, 399.32
14825.54, 392.33
14831.46, 391.73
14826.26, 389.31
14832.43, 405.41
14807.72, 388.12
14791.83, 382.61
14839.25, 392.64
14810.34, 392.12
14791.86, 386.37
14791.90, 396.22
14814.40, 383.93
14827.68, 386.35
14806.97, 387.53
14796.57, 389.68
14807.26, 388.74
14827.97, 383.77
14795.88, 387.59
14797.23, 394.17
14811.32, 388.61
14785.34, 390.98
14801.66, 384.17
14823.27, 382.86
14809.36, 390.55
14812.30, 388.76
14795.14, 392.16
14793.09, 386.27
14812.25, 392.75
14832.82, 394.81
14803.96, 390.73
14795.76, 393.46
14791.97, 386.88
14813.52, 395.12
14801.27, 393.22
14802.89, 393.31
14792.44, 389.35
14800.10, 391.93
14789.33, 379.55
14811.15, 389.47
14846.60, 400.58
14807.64, 393.18
14823.10, 397.39
14795.58, 406.15
14795.98, 387.45
14818.00, 393.50
14794.82, 402.27
14795.86, 386.49
14809.43, 388.80
14799.02, 385.77
14838.40, 392.71
14797.58, 389.92
14839.06, 381.43
14862.07, 387.39
14790.89, 392.79
14797.45, 400.09
14795.07, 397.40
14807.52, 402.16
